id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,spread pressure,113,72,21,103,646,ship,baseline,monotonic-signal,raise-signal
m002,g002,fill risk,74,0,15,27,290,ship,edge,drag-penalty,drop-slack
m003,g003,portfolio drift,62,16,21,28,236,ship,recovery,confidence-floor,raise-drag
m004,g004,quote width,60,22,36,29,176,ship,negative,lane-boundary,lower-confidence
m005,g005,spread pressure,71,27,6,96,479,ship,baseline,monotonic-signal,raise-signal
m006,g006,fill risk,67,56,14,42,352,ship,edge,drag-penalty,drop-slack
m007,g007,portfolio drift,117,55,26,62,543,ship,recovery,confidence-floor,raise-drag
m008,g008,quote width,101,51,23,64,491,ship,negative,lane-boundary,lower-confidence
m009,g009,spread pressure,106,52,6,89,630,ship,baseline,monotonic-signal,raise-signal
m010,g010,fill risk,98,9,20,99,519,ship,edge,drag-penalty,drop-slack
m011,g011,portfolio drift,102,76,14,23,474,ship,recovery,confidence-floor,raise-drag
m012,g012,quote width,108,72,23,19,450,ship,negative,lane-boundary,lower-confidence
m013,g013,spread pressure,79,37,40,84,361,ship,baseline,monotonic-signal,raise-signal
m014,g014,fill risk,99,46,22,72,498,ship,edge,drag-penalty,drop-slack
m015,g015,portfolio drift,117,70,21,70,594,ship,recovery,confidence-floor,raise-drag
m016,g016,quote width,85,44,12,18,372,ship,negative,lane-boundary,lower-confidence
m017,g017,spread pressure,82,33,12,59,431,ship,baseline,monotonic-signal,raise-signal
m018,g018,fill risk,70,54,35,77,348,ship,edge,drag-penalty,drop-slack
m019,g019,portfolio drift,72,14,34,91,348,ship,recovery,confidence-floor,raise-drag
m020,g020,quote width,33,61,45,89,191,ship,negative,lane-boundary,lower-confidence
m021,g021,spread pressure,70,17,35,26,209,ship,baseline,monotonic-signal,raise-signal
m022,g022,fill risk,34,56,10,27,206,ship,edge,drag-penalty,drop-slack
m023,g023,portfolio drift,112,60,27,41,482,ship,recovery,confidence-floor,raise-drag
m024,g024,quote width,67,59,6,82,467,ship,negative,lane-boundary,lower-confidence
m025,g025,spread pressure,57,16,42,41,158,ship,baseline,monotonic-signal,raise-signal
m026,g026,fill risk,86,31,41,61,333,ship,edge,drag-penalty,drop-slack
m027,g027,portfolio drift,108,22,28,76,494,ship,recovery,confidence-floor,raise-drag
m028,g028,quote width,35,50,33,75,208,ship,negative,lane-boundary,lower-confidence
m029,g029,spread pressure,99,66,41,98,494,ship,baseline,monotonic-signal,raise-signal
m030,g030,fill risk,33,66,4,22,226,ship,edge,drag-penalty,drop-slack
m031,g031,portfolio drift,52,15,15,31,225,ship,recovery,confidence-floor,raise-drag
m032,g032,quote width,57,21,33,70,257,ship,negative,lane-boundary,lower-confidence
m033,g033,spread pressure,124,27,5,71,645,ship,baseline,monotonic-signal,raise-signal
m034,g034,fill risk,103,21,34,69,435,ship,edge,drag-penalty,drop-slack
